"Name","Component","Side","Place X","Place Y","Rotation"
"SHT1","A3_Front_ComThings","Top","76.149","69.007","0.00"
"C7","C0402_1U000","Top","26.500","21.500","270.00"
"C11","C0402_1U000","Top","36.125","8.625","0.00"
"C24","C0402_1U000","Top","42.750","26.800","180.00"
"C26","C0402_1U000","Top","28.125","2.250","0.00"
"C30","C0402_1U000","Top","19.000","26.625","90.00"
"C39","C0402_1U000","Top","24.375","24.875","90.00"
"C42","C0402_1U000","Top","24.375","23.750","90.00"
"C8","C0402_6P000","Top","32.500","24.750","180.00"
"C9","C0402_6P000","Top","36.150","24.800","180.00"
"C40","C0402_10N00","Top","37.625","29.750","0.00"
"C38","C0402_22N00","Top","26.875","27.875","0.00"
"C41","C0402_22N00","Top","24.375","22.625","90.00"
"C10","C0402_100N0","Top","30.625","8.750","180.00"
"C12","C0402_100N0","Top","37.250","8.625","0.00"
"C13","C0402_100N0","Top","35.400","22.700","90.00"
"C16","C0402_100N0","Top","29.250","24.375","180.00"
"C17","C0402_100N0","Top","26.500","23.750","270.00"
"C18","C0402_100N0","Top","38.375","8.625","0.00"
"C19","C0402_100N0","Top","1.625","16.625","0.00"
"C23","C0402_100N0","Top","26.875","2.250","0.00"
"C25","C0402_100N0","Top","43.875","26.800","180.00"
"C35","C0402_100N0","Top","34.125","31.750","180.00"
"C36","C0402_100N0","Top","34.125","29.625","0.00"
"C14","C0402_220P0","Top","28.750","16.000","270.00"
"C15","C0402_220P0","Top","26.500","22.625","270.00"
"C22","C0402_220P0","Top","39.500","8.625","0.00"
"C27","C0402_220P0","Top","28.750","26.000","270.00"
"C28","C0402_220P0","Top","31.250","27.000","90.00"
"C29","C0402_220P0","Top","28.750","35.750","0.00"
"C31","C0402_220P0","Top","28.750","27.625","270.00"
"C32","C0402_220P0","Top","29.250","32.125","180.00"
"C33","C0402_220P0","Top","35.875","28.125","90.00"
"C34","C0402_220P0","Top","35.875","32.375","270.00"
"C37","C0402_220P0","Top","26.875","30.000","180.00"
"C20","C0603_10U00","Top","27.875","8.575","90.00"
"CONN2","CONN_SMA_EDGE_LONG","Top","21.000","40.700","90.00"
"CONN1","CONN_USB_MICROB_F9","Top","21.000","1.783","90.00"
"CR5","ESD_LXES15AAA1_100","Top","23.125","30.500","90.00"
"Logo1","Gollum_Man_Logo","Top","24.555","22.763","90.00"
"CONN3","HDR_10WAY_2P54_DUAL","Top","5.250","8.250","90.00"
"CONN4","HDR_12WAY_2P54_DUAL","Top","5.250","31.105","90.00"
"IC9","IC_0915LPF","Top","31.625","35.000","90.00"
"IC7","IC_B0310J50100AHF","Top","31.000","25.250","0.00"
"IC11","IC_BGA420","Top","28.941","29.625","180.00"
"IC1","IC_CC1111FX","Top","31.000","20.000","180.00"
"IC5","IC_ISP130301","Top","44.000","20.000","90.00"
"IC6","IC_LTC2941","Top","28.425","11.375","90.00"
"IC2","IC_MCP73832","Top","28.125","5.500","270.00"
"IC4","IC_S25FL116K_FLASH","Top","41.356","12.500","90.00"
"IC8","IC_SKY13385","Top","31.679","28.750","180.00"
"IC12","IC_SKY13385","Top","31.571","31.875","0.00"
"IC10","IC_SPF5043Z","Top","35.875","30.250","180.00"
"IC3","IC_TPS709","Top","33.375","9.500","0.00"
"L5","L0402_1U000","Top","21.000","30.500","270.00"
"L7","L0402_1U000","Top","37.625","31.875","180.00"
"CR6","LED_SMT_BLU","Top","3.675","20.925","270.00"
"CR3","LED_SMT_GRN","Top","3.675","17.075","270.00"
"CR2","LED_SMT_ORN","Top","3.675","22.075","270.00"
"CR1","LED_SMT_RED","Top","3.675","15.925","270.00"
"Q4","NMOS_2N7002DW","Top","9.625","16.025","270.00"
"Q5","NMOS_2N7002DW","Top","9.625","21.875","270.00"
"Q6","NMOS_2N7002DW","Top","9.625","18.575","270.00"
"Q8","NMOS_2N7002DW","Top","3.750","18.750","270.00"
"Q3","NP_MOS_DMC2400UV","Top","20.250","23.125","0.00"
"Q7","NP_MOS_DMC2400UV","Top","22.375","22.000","0.00"
"Q2","PMOS_BSS84","Top","18.125","29.125","0.00"
"Q1","PMOS_NTR1P02T1","Top","31.875","3.125","180.00"
"R16","R0402_0R000","Top","35.375","15.875","270.00"
"R20","R0402_0R000","Top","36.125","10.750","0.00"
"R27","R0402_0R000","Top","16.875","25.500","270.00"
"R32","R0402_0R000","Top","24.375","21.500","90.00"
"R31","R0402_1K000","Top","22.250","19.125","90.00"
"R34","R0402_1K000","Top","22.250","20.250","90.00"
"R9","R0402_1K500","Top","24.125","7.125","0.00"
"R8","R0402_1R000","Top","26.800","11.375","0.00"
"R17","R0402_3K900","Top","41.750","8.625","180.00"
"R18","R0402_3K900","Top","40.625","8.625","180.00"
"R28","R0402_4K700","Top","16.875","26.625","90.00"
"R30","R0402_4K700","Top","20.375","24.875","90.00"
"R33","R0402_4K700","Top","22.250","23.750","90.00"
"R10","R0402_10K00","Top","29.375","2.250","180.00"
"R25","R0402_10K00","Top","42.875","8.625","180.00"
"R14","R0402_33R00","Top","35.400","18.125","90.00"
"R15","R0402_33R00","Top","35.400","17.025","270.00"
"R4","R0402_56K00","Top","28.125","24.375","0.00"
"R13","R0402_56K00","Top","34.250","2.250","0.00"
"R6","R0402_100K0","Top","32.250","14.875","0.00"
"R7","R0402_100K0","Top","33.375","14.875","0.00"
"R12","R0402_100K0","Top","39.375","26.700","180.00"
"R26","R0402_100K0","Top","34.250","4.375","0.00"
"R23","R0402_200R0","Top","7.000","19.200","270.00"
"R22","R0402_330R0","Top","7.000","22.500","270.00"
"R1","R0402_390R0","Top","7.000","17.950","270.00"
"R21","R0402_390R0","Top","1.625","18.750","180.00"
"R19","R0402_430R0","Top","7.000","16.775","270.00"
"R2","R0402_560R0","Top","7.000","21.250","270.00"
"R3","R0402_750R0","Top","7.000","15.400","270.00"
"R5","R0402_NA_NC","Top","19.625","7.125","0.00"
"R11","R0402_NA_NC","Top","40.500","26.700","180.00"
"R24","R0402_NA_NC","Top","41.625","26.700","180.00"
"V1","R0402_VAR_9V","Top","18.500","7.125","0.00"
"V2","R0402_VAR_9V","Top","20.750","7.125","0.00"
"V3","R0402_VAR_9V","Top","21.875","7.125","0.00"
"V4","R0402_VAR_9V","Top","23.000","7.125","0.00"
"CR4","SCH_PMEG3010BEA","Top","32.125","6.563","90.00"
"SW1","SW_TACT_2MM0","Top","23.125","12.500","270.00"
"SW2","SW_TACT_2MM0","Top","23.125","27.500","270.00"
"SW3","SW_TACT_2MM0","Top","11.875","12.500","90.00"
"SW4","SW_TACT_2MM0","Top","11.875","27.500","90.00"
"SW5","SW_TACT_2MM0","Top","42.375","30.900","0.00"
"XTAL1","X2016_48M00","Top","34.300","25.000","0.00"
